Title,Filestring,Opus Number,Movement Number,Corpus Position,Vocal Or Instrumental,Number of Parts,Duration,Date,Chronological Position
Op. 6 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 6 iii.xml,6,iii,19,Instrumental,21,121.20000000000012,1909,19
Op. 6 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 6 iv.xml,6,iv,20,Instrumental,22,209.83695652173895,1909,20
Op. 6 v,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 6 v.xml,6,v,21,Instrumental,29,208.5,1909,21
Op. 6 vi,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 6 vi.xml,6,vi,22,Instrumental,16,63.000000000000014,1909,22
Op. 7 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 7 i.xml,7,i,23,Instrumental,2,21.0,1910,23
Op. 7 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 7 ii.xml,7,ii,24,Instrumental,2,58.50000000000004,1910,24
Op. 7 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 7 iii.xml,7,iii,25,Instrumental,2,35.49999999999998,1910,25
Op. 7 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 7 iv.xml,7,iv,26,Instrumental,2,36.2607142857143,1910,26
Op. 8 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 8 i.xml,8,i,27,Vocal,9,42.00000000000001,1910,27
Op. 8 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 8 ii.xml,8,ii,28,Vocal,9,52.181818181818116,1910,28
Op. 9 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 9 i.xml,9,i,29,Instrumental,4,27.965909090909083,1913,35
Op. 9 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 9 ii.xml,9,ii,30,Instrumental,4,21.937500000000007,1911,38
Op. 9 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 9 iii.xml,9,iii,31,Instrumental,4,13.909774436090235,1911,30
Op. 9 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 9 iv.xml,9,iv,32,Instrumental,4,11.5,1911,31
Op. 9 v,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 9 v.xml,9,v,33,Instrumental,4,22.500000000000004,1911,32
Op. 9 vi,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 9 vi.xml,9,vi,34,Instrumental,4,19.999999999999993,1913,33
Op. 10 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 10 i.xml,10,i,35,Instrumental,10,37.8,1911,29
Op. 10 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 10 ii.xml,10,ii,36,Instrumental,15,26.249999999999993,1913,34
Op. 10 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 10 iii.xml,10,iii,37,Instrumental,13,62.0,1913,37
Op. 10 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 10 iv.xml,10,iv,38,Instrumental,8,19.0,1911,36
Op. 10 v,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 10 v.xml,10,v,39,Instrumental,16,35.921052631578945,1913,39
Op. 11 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 11 i.xml,11,i,40,Instrumental,2,55.86206896551723,1914,41
Op. 11 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 11 ii.xml,11,ii,41,Instrumental,2,21.60000000000001,1914,42
Op. 11 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 11 iii.xml,11,iii,42,Instrumental,2,48.000000000000014,1914,43
Op. 12 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 12 i.xml,12,i,43,Vocal,2,50.0,1915,44
Op. 12 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 12 ii.xml,12,ii,44,Vocal,2,75.0,1917,47
Op. 12 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 12 iii.xml,12,iii,45,Vocal,2,59.847619047619084,1915,45
Op. 12 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 12 iv.xml,12,iv,46,Vocal,2,43.363636363636346,1917,46
Op. 13 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 13 i.xml,13,i,47,Vocal,14,94.72575757575753,1917,48
Op. 13 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 13 ii.xml,13,ii,48,Vocal,14,53.714285714285836,1914,40
Op. 13 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 13 iii.xml,13,iii,49,Vocal,10,49.09090909090907,1917,50
Op. 13 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 13 iv.xml,13,iv,50,Vocal,11,102.78571428571448,1918,52
Op. 14 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 14 i.xml,14,i,51,Vocal,4,67.79761904761908,1921,57
Op. 14 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 14 ii.xml,14,ii,52,Vocal,4,61.369047619047585,1919,56
Op. 14 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 14 iii.xml,14,iii,53,Vocal,4,47.22826086956526,1919,53
Op. 14 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 14 iv.xml,14,iv,54,Vocal,4,73.83333333333337,1917,49
Op. 14 v,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 14 v.xml,14,v,55,Vocal,4,25.525083612040163,1919,55
Op. 14 vi,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 14 vi.xml,14,vi,56,Vocal,5,31.49999999999999,1919,54
Op. 15 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 15 i.xml,15,i,57,Vocal,6,42.00000000000001,1921,58
Op. 15 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 15 ii.xml,15,ii,58,Vocal,6,13.20000000000001,1922,60
Op. 15 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 15 iii.xml,15,iii,59,Vocal,4,42.727272727272734,1921,59
Op. 15 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 15 iv.xml,15,iv,60,Vocal,3,43.74999999999999,1922,61
Op. 15 v,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 15 v.xml,15,v,61,Vocal,6,87.0,1917,51
Op. 16 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 16 i.xml,16,i,62,Vocal,3,19.090909090909086,1924,67
Op. 16 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 16 ii.xml,16,ii,63,Vocal,2,43.33333333333334,1923,62
Op. 16 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 16 iii.xml,16,iii,64,Vocal,3,32.0,1923,63
Op. 16 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 16 iv.xml,16,iv,65,Vocal,2,18.491071428571427,1923,64
Op. 16 v,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 16 v.xml,16,v,66,Vocal,3,18.200000000000003,1924,66
Op. 17 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 17 i.xml,17,i,67,Vocal,4,34.285714285714356,1924,65
Op. 17 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 17 ii.xml,17,ii,68,Vocal,4,90.0,1925,69
Op. 17 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 17 iii.xml,17,iii,69,Vocal,4,16.000000000000004,1925,68
Op. 18 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 18 i.xml,18,i,70,Vocal,3,43.3333333333334,1925,70
Op. 18 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 18 ii.xml,18,ii,71,Vocal,3,46.80000000000001,1925,71
Op. 18 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 18 iii.xml,18,iii,72,Vocal,3,39.400000000000034,1925,72
Op. 19 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 19 i.xml,19,i,73,Vocal,9,39.49999999999997,1925,73
Op. 19 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 19 ii.xml,19,ii,74,Vocal,9,47.0,1925,74
Op. 20 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 20 i.xml,20,i,75,Instrumental,3,124.06785714285766,1927,76
Op. 20 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 20 ii.xml,20,ii,76,Instrumental,3,285.6655491310632,1927,75
Op. 21 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 21 i.xml,21,i,77,Instrumental,9,312.0000000000035,1928,78
Op. 21 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 21 ii.xml,21,ii,78,Instrumental,9,106.18118686868695,1928,77
Op. 22 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 22 i.xml,22,i,79,Instrumental,4,133.33333333333263,1930,80
Op. 22 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 22 ii.xml,22,ii,80,Instrumental,4,127.88492063492029,1930,79
Op. 23 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 23 i.xml,23,i,81,Vocal,2,108.62500000000003,1934,83
Op. 23 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 23 ii.xml,23,ii,82,Vocal,2,68.63333333333341,1933,82
Op. 23 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 23 iii.xml,23,iii,83,Vocal,2,85.62142857142862,1933,81
Op. 24 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 24 i.xml,24,i,84,Instrumental,9,137.26666666666648,1934,84
Op. 24 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 24 ii.xml,24,ii,85,Instrumental,9,133.5,1934,86
Op. 24 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 24 iii.xml,24,iii,86,Instrumental,9,73.11111111111117,1934,87
Op. 25 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 25 i.xml,25,i,87,Vocal,2,43.999999999999986,1934,85
Op. 25 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 25 ii.xml,25,ii,88,Vocal,2,89.4642857142857,1934,89
Op. 25 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 25 iii.xml,25,iii,89,Vocal,2,55.72010869565207,1934,88
Op. 26,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 26.xml,26,,90,Vocal,20,496.3173076923094,1935,90
Op. 27 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 27 i.xml,27,i,91,Instrumental,1,87.5,1936,93
Op. 27 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 27 ii.xml,27,ii,92,Instrumental,1,45.5,1936,91
Op. 27 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 27 iii.xml,27,iii,93,Instrumental,1,146.77325581395374,1936,92
Op. 28 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 28 i.xml,28,i,94,Instrumental,4,228.0561688311682,1938,96
Op. 28 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 28 ii.xml,28,ii,95,Instrumental,4,92.61071428571432,1938,94
Op. 28 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 28 iii.xml,28,iii,96,Instrumental,4,92.12499999999994,1937,95
Op. 29 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 29 i.xml,29,i,97,Vocal,18,127.21739130434766,1939,98
Op. 29 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 29 ii.xml,29,ii,98,Vocal,16,84.79999999999994,1938,97
Op. 29 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 29 iii.xml,29,iii,99,Vocal,19,161.65384615384642,1939,99
Op. 30,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 30.xml,30,,100,Instrumental,16,309.78503694581286,1940,100
Op. 31 i,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 31 i.xml,31,i,101,Vocal,16,70.3247304582211,1943,104
Op. 31 ii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 31 ii.xml,31,ii,102,Vocal,10,123.92857142857139,1943,105
Op. 31 iii,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 31 iii.xml,31,iii,103,Vocal,21,91.67142857142849,1943,106
Op. 31 iv,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 31 iv.xml,31,iv,104,Vocal,18,45.57142857142853,1941,101
Op. 31 v,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 31 v.xml,31,v,105,Vocal,18,144.2857142857144,1942,102
Op. 31 vi,/Users/joshua ballance/Desktop/Oxford/Corpus/Sounding Corpus (Movements)/XML/Op. 31 vi.xml,31,vi,106,Vocal,15,26.07142857142859,1942,103
